Date,Home_Win,Home,Away,Home_Streak,Away_Streak,Home_Win_Percentage,Away_Win_Percentage
wednesday may 8,L,TOR,MIN,-4,2,0.4166666666666667,0.6470588235294118
friday may 10,W,TOR,CHW,-5,-2,0.40540540540540543,0.4444444444444444
saturday may 11,L,TOR,CHW,1,-3,0.42105263157894735,0.4324324324324325
sunday may 12,L,TOR,CHW,-1,1,0.41025641025641024,0.4473684210526316
tuesday may 14,L,SFG,TOR,1,-2,0.425,0.4
wednesday may 15,W,SFG,TOR,-1,1,0.4146341463414634,0.4146341463414634
thursday may 16,W,CHW,TOR,-1,-1,0.4634146341463415,0.4047619047619048
friday may 17,L,CHW,TOR,1,-2,0.4761904761904762,0.3953488372093023
saturday may 18,W,CHW,TOR,-1,1,0.4651162790697674,0.4090909090909091
sunday may 19,L,CHW,TOR,1,-1,0.4772727272727273,0.4
monday may 20,L,TOR,BOS,1,1,0.4130434782608696,0.5217391304347826
tuesday may 21,W,TOR,BOS,-1,2,0.40425531914893614,0.5319148936170213
wednesday may 22,L,TOR,BOS,1,-1,0.4166666666666667,0.5208333333333334
thursday may 23,L,TOR,BOS,-1,1,0.4081632653061225,0.5306122448979592
friday may 24,L,TOR,SDP,-2,3,0.4,0.52
saturday may 25,L,TOR,SDP,-3,4,0.3921568627450979,0.5294117647058824
sunday may 26,W,TOR,SDP,-4,5,0.38461538461538464,0.5384615384615384
monday may 27,W,TBR,TOR,2,1,0.62,0.3962264150943397
tuesday may 28,W,TBR,TOR,3,-1,0.6274509803921569,0.3888888888888889
wednesday may 29,W,TBR,TOR,4,-2,0.6346153846153846,0.3818181818181817
friday may 31,W,COL,TOR,5,-3,0.509090909090909,0.375
saturday jun 1,W,COL,TOR,6,-4,0.5178571428571429,0.3684210526315789
sunday jun 2,W,COL,TOR,7,-5,0.5263157894736842,0.3620689655172414
tuesday jun 4,W,TOR,NYY,-6,-1,0.3559322033898305,0.6551724137931034
wednesday jun 5,W,TOR,NYY,1,-2,0.3666666666666665,0.6440677966101694
thursday jun 6,L,TOR,NYY,2,-3,0.3770491803278688,0.6333333333333333
friday jun 7,L,TOR,ARI,-1,1,0.3709677419354839,0.49206349206349204
saturday jun 8,L,TOR,ARI,-2,2,0.36507936507936506,0.5
sunday jun 9,L,TOR,ARI,-3,3,0.359375,0.5076923076923077
tuesday jun 11,W,BAL,TOR,-1,-4,0.3076923076923077,0.3538461538461539
wednesday jun 12,L,BAL,TOR,1,-5,0.3181818181818182,0.3484848484848485
thursday jun 13,L,BAL,TOR,-1,1,0.31343283582089554,0.3582089552238806
friday jun 21,W,BOS,TOR,1,1,0.5394736842105263,0.36
saturday jun 22,L,BOS,TOR,2,-1,0.5454545454545454,0.35526315789473684
sunday jun 23,L,BOS,TOR,-1,1,0.5384615384615384,0.3636363636363637
monday jun 24,W,NYY,TOR,-1,2,0.6363636363636364,0.3717948717948718
tuesday jun 25,W,NYY,TOR,1,-1,0.6410256410256411,0.3670886075949367
wednesday jun 26,W,NYY,TOR,2,-2,0.6455696202531646,0.3625
friday jun 28,W,TOR,KCR,-3,-1,0.3580246913580247,0.3456790123456789
saturday jun 29,W,TOR,KCR,1,-2,0.36585365853658536,0.3414634146341464
sunday jun 30,L,TOR,KCR,2,-3,0.3734939759036144,0.3373493975903614
monday jul 1,W,TOR,KCR,-1,1,0.3690476190476191,0.34523809523809523
tuesday jul 2,L,TOR,BOS,1,-3,0.3764705882352941,0.5238095238095238
wednesday jul 3,W,TOR,BOS,-1,1,0.37209302325581395,0.5294117647058824
thursday jul 4,L,TOR,BOS,1,-1,0.3793103448275862,0.5232558139534884
friday jul 5,L,TOR,BAL,-1,1,0.375,0.2906976744186047
saturday jul 6,L,TOR,BAL,-2,2,0.3707865168539326,0.2988505747126437
sunday jul 7,W,TOR,BAL,-3,3,0.3666666666666665,0.3068181818181818
friday jul 12,W,NYY,TOR,-2,1,0.6477272727272727,0.3736263736263736
saturday jul 13,L,NYY,TOR,1,-1,0.651685393258427,0.3695652173913043
sunday jul 14,W,NYY,TOR,-1,1,0.6444444444444445,0.3763440860215054
monday jul 15,W,BOS,TOR,-2,-1,0.5376344086021505,0.3723404255319149
tuesday jul 16,L,BOS,TOR,1,-2,0.5425531914893617,0.3684210526315789
wednesday jul 17,W,BOS,TOR,-1,1,0.5368421052631579,0.375
thursday jul 18,W,BOS,TOR,1,-1,0.5416666666666666,0.3711340206185567
friday jul 19,L,DET,TOR,-4,-2,0.3118279569892473,0.3673469387755102
saturday jul 20,L,DET,TOR,-5,1,0.30851063829787234,0.37373737373737376
sunday jul 21,W,DET,TOR,-6,2,0.30526315789473685,0.38
monday jul 22,L,TOR,CLE,-1,1,0.3762376237623761,0.5816326530612245
tuesday jul 23,W,TOR,CLE,-2,2,0.3725490196078432,0.5858585858585859
wednesday jul 24,L,TOR,CLE,1,-1,0.3786407766990291,0.58
friday jul 26,L,TOR,TBR,-1,1,0.375,0.5523809523809524
