Team Name,Team Abbreviation,Year,League,Division,Games,Wins,Loses,Ties,Win_Percentage,Games_Back,Runs_Scored,Runs_Allowed
Colorado Rockies,COL,2018,National,West,163,91,72,0,0.558,1,780,745
Arizona Diamondbacks,ARI,2018,National,West,162,82,80,0,0.506,9.5,693,644
San Francisco Giants,SFG,2018,National,West,162,73,89,0,0.451,18.5,603,699
San Diego Padres,SDP,2018,National,West,162,66,96,0,0.407,25.5,617,767
Boston Red Sox,BOS,2018,American,East,162,108,54,0,0.667,-,876,647
New York Yankees,NYY,2018,American,East,162,100,62,0,0.617,8,851,669
Tampa Bay Rays,TBR,2018,American,East,162,90,72,0,0.556,18,716,646
Toronto Blue Jays,TOR,2018,American,East,162,73,89,0,0.451,35,709,832
Baltimore Orioles,BAL,2018,American,East,162,47,115,0,0.29,61,622,892
Cleveland Indians,CLE,2018,American,Central,162,91,71,0,0.562,-,818,648
Minnesota Twins,MIN,2018,American,Central,162,78,84,0,0.481,13,738,775
Detroit Tigers,DET,2018,American,Central,162,64,98,0,0.395,27,630,796
Chicago White Sox,CHW,2018,American,Central,162,62,100,0,0.383,29,656,848
Kansas City Royals,KCR,2018,American,Central,162,58,104,0,0.358,33,638,833
Houston Astros,HOU,2018,American,West,162,103,59,0,0.636,-,797,534
Oakland Athletics,OAK,2018,American,West,162,97,65,0,0.599,6,813,674
Seattle Mariners,SEA,2018,American,West,162,89,73,0,0.549,14,677,711
Anaheim Angels,LAA,2018,American,West,162,80,82,0,0.494,23,721,722
Texas Rangers,TEX,2018,American,West,162,67,95,0,0.414,36,737,848
Atlanta Braves,ATL,2019,National,East,162,97,65,0,0.599,-,855,743
Washington Nationals,WSN,2019,National,East,162,93,69,0,0.574,4,873,724
New York Mets,NYM,2019,National,East,162,86,76,0,0.531,11,791,737
Philadelphia Phillies,PHI,2019,National,East,162,81,81,0,0.5,16,774,794
Miami Marlins,MIA,2019,National,East,162,57,105,0,0.352,40,615,808
St. Louis Cardinals,STL,2019,National,Central,162,91,71,0,0.562,-,764,662
Milwaukee Brewers,MIL,2019,National,Central,162,89,73,0,0.549,2,769,766
