Date,Home_Win,Home,Away,Win Percent Delta,Streak Delta,Run Scored Delta,Run Allowed Delta,Run Delta Delta,Run Delta Percent Delta,Win Total Delta,H_AVG,H_OBP,H_SLG,H_BFW,H_O_AVG,H_O_OBP,H_O_SLG,A_AVG,A_OBP,A_SLG,A_BFW,A_O_AVG,A_O_OBP,A_O_SLG
sunday jun 23,W,PIT,SDP,-0.02683982683982683,5,2,39,-37,-0.08129999999999993,-3,0.265,0.321,0.42,-4.0,0.268,0.343,0.47,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
thursday aug 8,W,SDP,COL,0.004036640273249514,1,-105,-116,11,0.0024999999999999467,0,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001
friday aug 9,W,SDP,COL,0.012738367658276071,4,-99,-122,23,0.02169999999999994,1,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001
saturday aug 10,W,SDP,COL,0.021289355322338888,6,-93,-128,35,0.04059999999999997,2,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001
sunday aug 11,L,SDP,COL,0.0296934865900384,8,-90,-131,41,0.049699999999999966,3,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001
monday aug 12,L,SDP,TBR,-0.1097464626876392,-4,-29,104,-133,-0.2761,-14,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.254,0.325,0.431,-0.5,0.23,0.294,0.386
tuesday aug 13,L,SDP,TBR,-0.11723163841807915,-6,-35,110,-145,-0.29659999999999986,-15,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.254,0.325,0.431,-0.5,0.23,0.294,0.386
wednesday aug 14,W,SDP,TBR,-0.12459198555455235,-8,-37,112,-149,-0.30099999999999993,-16,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.254,0.325,0.431,-0.5,0.23,0.294,0.386
friday aug 16,W,PHI,SDP,0.05399449035812677,2,34,16,18,0.03179999999999994,7,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
saturday aug 17,L,PHI,SDP,0.061780246579054336,5,38,12,26,0.044599999999999966,8,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
sunday aug 18,L,PHI,SDP,0.0531120884979342,-2,36,14,22,0.037799999999999945,7,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
