Team Name,Team Abbreviation,Year,League,Division,Games,Wins,Loses,Ties,Win_Percentage,Games_Back,Runs_Scored,Runs_Allowed,AVG,OBP,SLG,BFW,O_AVG,O_OBP,O_SLG
Kansas City Royals,KCR,2015,American,Central,162,95,67,0,0.586,-,724,641,0.269,0.322,0.412,-1.2,0.249,0.314,0.396
Houston Astros,HOU,2015,American,West,162,86,76,0,0.531,2,729,618,0.25,0.315,0.437,5.3,0.241,0.299,0.382
Oakland Athletics,OAK,2015,American,West,162,68,94,0,0.42,20,694,729,0.251,0.312,0.395,-1.2,0.254,0.316,0.4
Anaheim Angels,LAA,2015,American,West,162,85,77,0,0.525,3,661,675,0.246,0.307,0.396,-6.3,0.248,0.313,0.396
Seattle Mariners,SEA,2015,American,West,162,76,86,0,0.469,12,656,726,0.249,0.311,0.411,3.3,0.256,0.322,0.412
Texas Rangers,TEX,2015,American,West,162,88,74,0,0.5429999999999999,-,751,733,0.257,0.325,0.413,3.4,0.262,0.328,0.419
Atlanta Braves,ATL,2016,National,East,161,68,93,0,0.42200000000000004,26.5,649,779,0.255,0.321,0.384,-8.1,0.256,0.328,0.416
Washington Nationals,WSN,2016,National,East,162,95,67,0,0.586,-,763,612,0.256,0.326,0.426,1.2,0.234,0.3,0.376
Philadelphia Phillies,PHI,2016,National,East,162,71,91,0,0.43799999999999994,24,610,796,0.24,0.301,0.384,-11.2,0.265,0.325,0.448
New York Mets,NYM,2016,National,East,162,87,75,0,0.537,8,671,617,0.246,0.316,0.417,0.8,0.254,0.311,0.395
Miami Marlins,MIA,2016,National,East,161,79,82,0,0.491,15.5,655,682,0.263,0.322,0.394,2.0,0.251,0.329,0.394
Milwaukee Brewers,MIL,2016,National,Central,162,73,89,0,0.451,30.5,671,733,0.244,0.322,0.407,3.5,0.263,0.333,0.426
Chicago Cubs,CHC,2016,National,Central,162,103,58,1,0.64,-,808,556,0.256,0.343,0.429,9.2,0.212,0.285,0.348
St. Louis Cardinals,STL,2016,National,Central,162,86,76,0,0.531,17.5,779,712,0.255,0.325,0.442,10.1,0.258,0.32,0.402
Pittsburgh Pirates,PIT,2016,National,Central,162,78,83,1,0.484,25,729,758,0.257,0.332,0.402,5.3,0.267,0.336,0.436
Cincinnati Reds,CIN,2016,National,Central,162,68,94,0,0.42,35.5,716,854,0.256,0.316,0.408,1.2,0.263,0.345,0.456
Los Angeles Dodgers,LAD,2016,National,West,162,91,71,0,0.562,-,725,638,0.249,0.319,0.409,-3.6,0.233,0.298,0.375
Colorado Rockies,COL,2016,National,West,162,75,87,0,0.46299999999999997,16,845,860,0.275,0.336,0.457,5.3,0.274,0.345,0.446
Arizona Diamondbacks,ARI,2016,National,West,162,69,93,0,0.426,22,752,890,0.261,0.32,0.432,-1.1,0.275,0.348,0.454
San Francisco Giants,SFG,2016,National,West,162,87,75,0,0.537,4,715,631,0.258,0.329,0.398,2.9,0.243,0.303,0.392
San Diego Padres,SDP,2016,National,West,162,68,94,0,0.42,23,686,770,0.235,0.299,0.39,-6.9,0.258,0.33,0.422
Boston Red Sox,BOS,2016,American,East,162,93,69,0,0.574,-,878,694,0.282,0.348,0.461,10.9,0.246,0.314,0.397
New York Yankees,NYY,2016,American,East,162,84,78,0,0.519,9,680,702,0.252,0.315,0.405,-5.3,0.248,0.31,0.424
Tampa Bay Rays,TBR,2016,American,East,162,68,94,0,0.42,25,672,713,0.243,0.307,0.426,-4.3,0.255,0.318,0.416
Toronto Blue Jays,TOR,2016,American,East,162,89,73,0,0.5489999999999999,4,759,666,0.248,0.33,0.426,1.3,0.242,0.305,0.398
Baltimore Orioles,BAL,2016,American,East,162,89,73,0,0.5489999999999999,4,744,715,0.256,0.317,0.443,3.3,0.258,0.328,0.421
Cleveland Indians,CLE,2016,American,Central,161,94,67,0,0.584,-,777,676,0.262,0.329,0.43,2.0,0.243,0.304,0.407
Minnesota Twins,MIN,2016,American,Central,162,59,103,0,0.364,35.5,722,889,0.251,0.316,0.421,-4.6,0.283,0.34,0.466
Detroit Tigers,DET,2016,American,Central,161,86,75,0,0.534,8,750,721,0.267,0.331,0.438,4.1,0.26,0.32,0.421
Chicago White Sox,CHW,2016,American,Central,162,78,84,0,0.48100000000000004,16.5,686,715,0.257,0.317,0.41,-4.2,0.257,0.326,0.419
Kansas City Royals,KCR,2016,American,Central,162,81,81,0,0.5,13.5,675,712,0.261,0.312,0.4,-7.1,0.259,0.327,0.423
